"BookID","GenreID"
30406,46047
24427,39285
45177,5160
22573,16888
45869,5483
36400,51889
20400,6794
31414,27371
540,3933
44018,38984
30659,13536
47421,32485
45230,35141
39094,24749
39814,22442
6851,41900
28973,22076
24456,13790
49307,10275
5770,2823
29732,21251
31005,4924
5226,31539
44665,34283
21687,28903
51834,10054
37865,12926
15962,17255
33461,15181
30952,3228
52386,48864
12654,32117
26770,15942
5204,22451
30598,26017
624,17909
32011,13865
45534,27118
6818,38350
29264,34832
14457,32306
32292,13415
34725,34165
7879,28940
3995,2718
11878,15745
34598,1822
5075,4946
7498,35906
43552,6029
42369,41264
45524,19510
723,17955
33879,41281
16446,37575
25555,26369
26272,3182
11753,46483
46140,27674
39766,15896
52145,6683
31034,41672
40440,49852
12054,24752
27364,28718
20606,14462
46600,16079
744,37220
5193,5745
24105,3234
1461,16351
18030,33230
39265,12855
36014,18132
124,5671
49367,19046
41629,7528
367,48316
262,16186
3319,479
25703,11353
30005,45974
19383,25178
37793,20153
5801,21150
9134,28618
33954,48504
35090,27250
16642,6275
2139,32968
34430,7402
18233,32835
46402,37903
23693,1953
46739,43756
4725,36852
1450,47320
13287,2387
35681,8066
22950,18768
4845,8006
20185,49576
28370,42911
33393,32810
50302,7236
33768,5275
24591,28997
59,47208
41856,23158
51059,12366
31296,32333
30402,14360
45216,39001
17109,13694
42307,9220
22282,9103
38907,21350
47512,34360
50269,13914
20150,25992
31173,36436
22841,2565
46124,47058
25743,15965
47675,17709
42964,33698
28587,5162
43035,10208
39595,6140
16081,17270
29236,27796
22521,22218
18593,19957
48626,6273
47039,45755
30568,25172
13503,5980
21245,9871
35921,130
42107,10409
19697,39548
28948,34223
33272,34529
11993,47368
35316,5407
36408,3831
38661,348
43012,48777
8806,14644
21260,18207
43496,42780
28649,8335
759,8304
14114,44898
29544,37047
2993,27701
17024,15664
18745,33160
38461,29148
13677,42436
3868,33742
16342,5516
2828,3812
30293,34444
6630,45027
37517,26850
14171,31934
48343,10625
10825,32218
18123,31932
48958,46114
46495,52137
18396,43422
3088,32209
2349,20770
27028,15338
10271,8567
3079,33441
50138,15526
49658,9129
29760,17830
10934,26104
34723,34679
51488,17189
51147,49923
40024,3115
4313,26853
39458,6169
14393,1
13745,34049
17776,13951
900,48932
31032,1121
42771,39237
9398,40621
10683,1950
13741,32591
40674,39287
48622,8082
34867,49664
17778,49768
17775,19150
6522,40266
9077,22952
19162,38450
4161,21909
38168,25120
38470,34843
8785,48729
28795,10479
39102,11143
34451,50375
33903,41539
17407,52195
28182,51023
38,39448
33619,27461
2258,29470
5637,29997
16329,16451
23416,40573
19765,16590
18376,621
51725,39169
11954,50796
3628,22160
7315,2857
49246,5600
37063,25951
31814,1643
28442,39196
31836,5743
51175,31988
13726,45839
28019,52465
51866,20833
2967,26900
35896,18362
11061,5495
3989,16813
33238,48186
24051,42802
1363,12040
44005,51737
50907,9735
30668,28233
51864,37123
46235,47635
47470,114
9997,13402
30867,43339
20350,33079
11228,28947
33046,50274
21307,9610
18482,17231
36938,40198
34164,38108
42521,36249
18036,11041
16410,26453
34032,16012
40881,31217
10227,9644
20961,6289
23970,187
20378,47493
2486,32107
43601,41523
44472,22621
14351,6128
33825,38061
34407,49391
17376,8151
18420,44463
4820,10710
3747,32481
16282,32795
44063,6013
22941,20681
11131,22888
12239,27193
36484,3617
251,31266
7057,15192
25529,2843
35908,30105
31210,36597
16930,2574
2693,37813
48064,7026
15248,3070
35079,40909
31698,26941
21510,25387
7326,4769
49147,38264
50384,31866
33928,84
9688,30376
18532,40527
23761,19060
17774,45024
30009,2445
12754,50522
30641,16799
31272,14936
42213,1816
26062,20530
47941,23523
36927,12653
35703,41856
51305,25157
40040,50651
13309,24734
26749,37733
51174,40840
29416,22415
23248,13860
15898,41389
5402,19649
40486,43858
31233,43998
8455,34580
44813,49940
4512,1120
47716,20617
51850,3273
157,34124
48548,33596
13283,28950
42721,47063
4479,30747
28189,41444
28149,43313
24307,87
26999,8138
48421,14213
36379,20038
16769,46683
32357,5817
48842,34087
14227,51012
47608,17544
16521,9745
5467,43956
21864,44488
13737,44624
40941,18657
21801,36870
2083,12528
42164,31043
50582,41863
15519,33770
49984,7131
10036,8349
26210,12884
31184,39863
47424,48754
46849,18766
13212,42350
43510,10741
21473,9153
18485,22338
49143,6464
5661,28335
31800,39995
35545,12252
22324,8842
40547,18628
34330,5535
15112,22054
49634,34888
42481,6102
37858,39286
32908,6348
5421,4341
42262,11703
49484,27637
39261,34820
31242,10088
33501,6280
45282,46891
16145,6318
40960,7824
9148,12469
28559,27134
42620,44486
11609,6167
40663,2274
8908,43541
565,29431
41772,49861
14064,3531
16077,3278
41932,40370
13069,20098
46591,34882
3975,51507
7808,5508
19176,9561
43863,26566
10925,14453
28257,10496
12762,17119
14148,13716
44027,4404
27514,47792
23005,48962
51954,32998
2454,3930
23108,22473
15728,39649
25554,46878
43189,31773
29931,30007
42020,45674
36991,51284
47589,1546
28027,4556
16150,51215
45932,20794
234,50264
41946,38345
34273,10369
41392,51203
40008,30138
30978,15723
33069,27441
23662,19084
2995,48406
43868,24650
24508,37815
35783,37319
19458,52263
25153,49208
17082,22373
37262,21801
3434,13187
12782,2836
10820,25468
2534,51070
25393,1794
34587,39336
12885,13916
14224,51367
13952,3985
46223,46820
9583,25425
1606,43131
47634,31022
38173,25093
51968,45538
22302,12310
37191,46634
43770,26456
14501,19487
43212,19829
14018,10336
18993,51876
26544,9657
2325,51673
4811,36857
2425,48899
50740,21887
15165,23680
31745,328
42701,47137
31252,11960
42179,37779
19293,5142
3663,16768
40525,48379
43125,24262
46686,25949
20608,21461
49513,32105
27162,48376
29296,39488
4087,34597
51906,1982
24151,10559
1164,48373
43227,30296
22419,7751
3281,40520
52233,14921
40015,36280
1794,49189
23747,50454
49833,18473
17685,17528
12780,2499
9604,30462
36624,27531
31246,34237
45726,38928
37993,48247
32755,48051
36200,42303
45643,13858
7316,14525
50106,21792
39426,1696
35623,5839
7225,21484
6060,10892
1820,4894
20209,33118
15700,11202
44694,1097
38402,46758
15121,27594
14654,27308
39020,14323
12125,27406
4649,27010
5146,38780
33124,33855
29565,7205
24834,29594
51556,32340
4589,30884
52399,27879
48405,15646
36094,18379
39760,17446
35154,28420
50073,6331
21733,22282
6751,2359
17471,49593
6068,14998
18703,28188
25949,3969
14424,13939
32182,31215
40169,50313
37561,1723
7485,2591
25868,42616
52285,8810
34399,14148
27307,11433
48150,12414
43236,22874
30640,2800
27008,38943
48249,7638
51014,13223
24897,33026
44805,41337
32881,35348
37192,6339
25517,50813
28062,6667
50182,19502
26942,19535
26686,51109
44905,14570
33774,17584
439,21589
873,37877
38779,48906
41952,4880
50234,14901
6686,1094
24003,18217
50108,3770
49502,37915
18099,18351
20889,25186
45940,17961
25740,37048
40588,19004
51092,2030
1135,21540
5465,50012
15849,25896
8604,23660
5504,26739
19859,11668
26053,30173
49069,51045
13225,41443
19374,46799
7223,18241
13379,44822
27493,22385
377,16818
4365,46718
6174,52312
51080,46618
22754,19947
41105,19967
52388,30640
43423,23517
17888,39691
18176,34658
6633,28175
865,41149
42885,47021
5177,17178
26299,47115
4940,30275
8796,11624
37862,37849
36988,47332
49915,15259
40864,4827
33243,17883
42099,23578
18738,48582
24775,18787
16404,25842
36712,23725
3413,37412
22482,41806
46106,9206
51570,4705
9380,32896
12580,25149
14650,20271
6255,9483
17201,2054
31587,49014
50718,22909
26188,17542
7512,23128
33638,46289
2962,48125
3009,49937
42194,38756
150,3864
49209,48939
